class,name,precision,recall,f1,support
0,No DR,0.6002886002886003,0.6090775988286969,0.6046511627906976,683
1,Mild,0.384,0.42572062084257206,0.4037854889589905,451
2,Moderate,0.44324324324324327,0.3215686274509804,0.37272727272727274,510
3,Severe,0.3727598566308244,0.5333333333333333,0.4388185654008439,195
4,Proliferative,0.6736842105263158,0.6666666666666666,0.6701570680628273,288
