round,stage,val_acc,val_loss,time_sec
1,1,0.33082354068756104,1.492048740386963,209.8
2,1,0.3741176426410675,1.4166127443313599,134.57
3,1,0.3816470503807068,1.386684536933899,132.13
4,1,0.4028235375881195,1.3569509983062744,137.02
5,1,0.40752941370010376,1.344656229019165,136.18
6,1,0.42494118213653564,1.3244385719299316,139.79
7,1,0.4287058711051941,1.3111032247543335,138.34
8,1,0.4291764795780182,1.30645751953125,141.11
9,1,0.44094118475914,1.2951067686080933,141.42
10,1,0.446117639541626,1.2885987758636475,144.19
11,1,0.43435293436050415,1.2861135005950928,143.12
12,1,0.44517648220062256,1.279829502105713,145.34
13,1,0.44376471638679504,1.2794100046157837,147.14
14,1,0.4385882318019867,1.274174690246582,148.47
15,1,0.45223528146743774,1.2681723833084106,151.23
16,1,0.44376471638679504,1.2673892974853516,149.91
17,1,0.45082351565361023,1.257245421409607,157.28
18,1,0.4512941241264343,1.256985068321228,151.71
19,1,0.47152942419052124,1.2502985000610352,155.32
20,1,0.4484705924987793,1.2547210454940796,154.5
21,1,0.45552942156791687,1.252742052078247,157.74
22,1,0.4564705789089203,1.250764012336731,156.72
23,1,0.4654117524623871,1.246640682220459,159.37
24,1,0.46070587635040283,1.2491767406463623,159.75
25,1,0.46164706349372864,1.2456830739974976,160.06
26,1,0.46305882930755615,1.2452753782272339,161.37
27,1,0.46305882930755615,1.2441012859344482,164.39
28,2,0.4870588183403015,1.2047784328460693,175.83
29,2,0.47152942419052124,1.2109121084213257,176.17
30,2,0.4931764602661133,1.178348183631897,179.24
31,2,0.48894116282463074,1.1759549379348755,175.02
32,2,0.48094117641448975,1.1917731761932373,179.23
33,2,0.4785882234573364,1.1845667362213135,178.86
34,2,0.48141175508499146,1.1817221641540527,179.34
35,2,0.49929413199424744,1.1547539234161377,181.25
36,2,0.4762353003025055,1.1986678838729858,182.16
37,2,0.4767058789730072,1.1677297353744507,183.64
38,2,0.48894116282463074,1.1719938516616821,186.65
39,2,0.4964706003665924,1.1566545963287354,188.18
40,2,0.48894116282463074,1.184473991394043,187.76
41,2,0.4851764738559723,1.1729220151901245,189.43
42,2,0.49976471066474915,1.1606159210205078,185.49
43,2,0.48894116282463074,1.1762901544570923,187.84
44,2,0.500705897808075,1.1587884426116943,187.79
45,2,0.4870588183403015,1.1711348295211792,201.25
46,2,0.49176469445228577,1.1563328504562378,210.13
47,2,0.4959999918937683,1.1571125984191895,196.36
48,2,0.49976471066474915,1.1568973064422607,215.29
49,2,0.49835294485092163,1.1608502864837646,215.25
50,2,0.5016470551490784,1.1576035022735596,218.99
51,2,0.49882352352142334,1.1505253314971924,199.8
52,2,0.5002353191375732,1.1680716276168823,209.71
53,2,0.50917649269104,1.1484929323196411,219.45
54,2,0.4870588183403015,1.1924601793289185,221.31
55,2,0.4950588345527649,1.1836655139923096,213.1
56,2,0.48894116282463074,1.1897375583648682,207.64
57,2,0.49882352352142334,1.16983962059021,207.47
58,2,0.5110588073730469,1.1541582345962524,208.7
59,2,0.4941176474094391,1.176328182220459,210.57
60,2,0.4978823661804199,1.1688100099563599,211.03
