round,stage,val_acc,val_loss,time_sec
1,1,0.26588234305381775,1.5785728693008423,197.11
2,1,0.32235294580459595,1.5014948844909668,121.35
3,1,0.3270588219165802,1.4827975034713745,126.19
4,1,0.3538823425769806,1.4416149854660034,121.29
5,1,0.3538823425769806,1.4465841054916382,121.03
6,1,0.3731764853000641,1.408920407295227,125.65
7,1,0.37694117426872253,1.394216775894165,128.49
8,1,0.37882351875305176,1.3942495584487915,125.51
9,1,0.3919999897480011,1.3807024955749512,124.55
10,1,0.3745882213115692,1.386353611946106,126.66
11,1,0.3764705955982208,1.3769015073776245,129.9
12,1,0.401411771774292,1.365890383720398,129.25
13,1,0.40752941370010376,1.3649866580963135,131.32
14,1,0.3952941298484802,1.356540322303772,127.76
15,1,0.404235303401947,1.3587768077850342,127.05
16,1,0.4108235239982605,1.3557751178741455,131.73
17,1,0.42399999499320984,1.3381682634353638,128.42
18,1,0.4225882291793823,1.3394935131072998,124.31
19,1,0.42494118213653564,1.3274790048599243,124.05
20,1,0.41647058725357056,1.3355448246002197,125.55
21,1,0.42494118213653564,1.3348387479782104,123.92
22,1,0.42635294795036316,1.3402236700057983,125.4
23,1,0.41741177439689636,1.3358155488967896,123.9
24,1,0.4197646975517273,1.3377633094787598,126.84
25,1,0.41647058725357056,1.3288525342941284,126.98
26,1,0.41741177439689636,1.3334378004074097,126.28
27,1,0.42352941632270813,1.322310209274292,125.06
28,2,0.38776469230651855,1.400338053703308,137.59
29,2,0.3369411826133728,1.4241118431091309,132.84
30,2,0.4023529291152954,1.3398154973983765,132.95
31,2,0.4127058684825897,1.3243907690048218,132.24
32,2,0.3844705820083618,1.369674801826477,130.92
33,2,0.40847060084342957,1.3366464376449585,134.95
34,2,0.4037646949291229,1.3442474603652954,134.33
35,2,0.4324705898761749,1.3047016859054565,133.81
36,2,0.4004705846309662,1.357837438583374,135.72
37,2,0.4390588104724884,1.283345341682434,135.61
38,2,0.40799999237060547,1.3491624593734741,134.91
39,2,0.401411771774292,1.3358725309371948,135.85
40,2,0.43670588731765747,1.3018192052841187,134.04
41,2,0.43435293436050415,1.2845085859298706,139.96
42,2,0.43341177701950073,1.2985512018203735,138.31
43,2,0.4127058684825897,1.2936384677886963,141.55
44,2,0.4414117634296417,1.2880139350891113,139.49
45,2,0.39811766147613525,1.3301507234573364,140.7
46,2,0.4320000112056732,1.2979990243911743,138.37
47,2,0.446117639541626,1.291722059249878,141.55
48,2,0.4188235402107239,1.3013132810592651,141.33
49,2,0.36941176652908325,1.3895378112792969,141.34
50,2,0.40470588207244873,1.3062033653259277,141.81
51,2,0.41741177439689636,1.2907912731170654,141.27
52,2,0.37694117426872253,1.3802889585494995,142.81
53,2,0.4592941105365753,1.259583830833435,144.0
54,2,0.39811766147613525,1.3615756034851074,146.28
55,2,0.4183529317378998,1.307953119277954,145.57
56,2,0.4023529291152954,1.3429750204086304,144.55
57,2,0.4211764633655548,1.2887027263641357,147.99
58,2,0.45458823442459106,1.2734407186508179,146.93
59,2,0.4108235239982605,1.3010826110839844,147.49
60,2,0.43623530864715576,1.2997565269470215,145.55
