class,name,precision,recall,f1,support
0,No DR,0.44101633393829404,0.3557833089311859,0.39384116693679094,683
1,Mild,0.5238095238095238,0.024390243902439025,0.046610169491525424,451
2,Moderate,0.2631578947368421,0.09803921568627451,0.14285714285714285,510
3,Severe,0.14713896457765668,0.27692307692307694,0.19217081850533807,195
4,Proliferative,0.22845691382765532,0.7916666666666666,0.3545878693623639,288
