round,stage,val_acc,val_loss,time_sec
1,1,0.26729410886764526,1.5503424406051636,237.33
2,1,0.3454117774963379,1.4858283996582031,165.58
3,1,0.3562352955341339,1.4560372829437256,168.48
4,1,0.3849411904811859,1.4183272123336792,168.11
5,1,0.3844705820083618,1.4089674949645996,173.27
6,1,0.4018823504447937,1.3901915550231934,171.52
7,1,0.39576470851898193,1.3730618953704834,173.9
8,1,0.3919999897480011,1.3725448846817017,173.08
9,1,0.41505882143974304,1.3596150875091553,175.03
10,1,0.42399999499320984,1.3489174842834473,175.42
11,1,0.4230588376522064,1.343205451965332,176.6
12,1,0.42447057366371155,1.3400793075561523,178.89
13,1,0.4197646975517273,1.3407200574874878,181.0
14,1,0.41552940011024475,1.3334449529647827,180.38
15,1,0.4395294189453125,1.3282159566879272,179.76
16,1,0.43294116854667664,1.3225935697555542,181.64
17,1,0.43529412150382996,1.3169636726379395,184.46
18,1,0.42588233947753906,1.3245488405227661,184.81
19,1,0.4503529369831085,1.3022758960723877,186.27
20,1,0.43576470017433167,1.3114910125732422,187.73
21,1,0.4305882453918457,1.313777208328247,188.47
22,1,0.44094118475914,1.3082387447357178,188.99
23,1,0.4296470582485199,1.3081029653549194,193.9
24,1,0.4470588266849518,1.3011395931243896,191.38
25,1,0.4475294053554535,1.2939183712005615,192.78
26,1,0.42682352662086487,1.3019582033157349,195.52
27,1,0.4414117634296417,1.2955247163772583,193.71
28,2,0.45552942156791687,1.254687786102295,205.41
29,2,0.4588235318660736,1.231734275817871,205.52
30,2,0.46164706349372864,1.223708987236023,205.97
31,2,0.4395294189453125,1.2291837930679321,208.6
32,2,0.4583529531955719,1.238279938697815,212.27
33,2,0.46117648482322693,1.2392042875289917,211.62
34,2,0.44329410791397095,1.2343944311141968,209.16
35,2,0.47200000286102295,1.1998788118362427,210.68
36,2,0.48094117641448975,1.2043343782424927,212.45
37,2,0.45270588994026184,1.2213314771652222,215.06
38,2,0.4682352840900421,1.2188512086868286,216.81
39,2,0.49035292863845825,1.184792160987854,217.16
40,2,0.48047059774398804,1.2015455961227417,219.03
41,2,0.48047059774398804,1.1841545104980469,218.81
42,2,0.49082353711128235,1.1730701923370361,218.7
43,2,0.46117648482322693,1.2374582290649414,222.21
44,2,0.4851764738559723,1.182706594467163,222.1
45,2,0.4771764576435089,1.1964874267578125,224.29
46,2,0.4781176447868347,1.1912394762039185,221.96
47,2,0.4762353003025055,1.166522741317749,224.49
48,2,0.477647066116333,1.1826907396316528,224.38
49,2,0.48988234996795654,1.1602145433425903,226.81
50,2,0.4861176609992981,1.1671079397201538,228.78
51,2,0.4668235182762146,1.1903303861618042,229.4
52,2,0.47999998927116394,1.1917110681533813,234.58
53,2,0.4974117577075958,1.1575618982315063,231.84
54,2,0.4842352867126465,1.183247685432434,234.73
55,2,0.4936470687389374,1.1814627647399902,237.1
56,2,0.47435295581817627,1.196312665939331,234.36
57,2,0.49976471066474915,1.1488327980041504,239.61
58,2,0.48847058415412903,1.168465495109558,240.46
59,2,0.4677647054195404,1.205561637878418,239.08
60,2,0.4865882396697998,1.159949779510498,241.48
