class,name,precision,recall,f1,support
0,No DR,0.861359126984127,0.6832579185520362,0.7620405924300604,5083
1,Mild,0.1292564280750521,0.3597678916827853,0.1901840490797546,517
2,Moderate,0.5522979397781299,0.4313118811881188,0.48436414176511466,1616
3,Severe,0.21415607985480944,0.6051282051282051,0.3163538873994638,195
4,Proliferative,0.463768115942029,0.6689895470383276,0.5477888730385164,287
