class,name,precision,recall,f1,support
0,No DR,0.7571078892863867,0.7910682667715916,0.7737156051568213,5083
1,Mild,0.24793388429752067,0.058027079303675046,0.09404388714733543,517
2,Moderate,0.45112781954887216,0.2599009900990099,0.3297997644287397,1616
3,Severe,0.25,0.16923076923076924,0.2018348623853211,195
4,Proliferative,0.1479634247714048,0.6202090592334495,0.2389261744966443,287
