loss,val_loss,accuracy,val_accuracy,stage,epoch
1.5181875228881836,1.3889939785003662,0.30643725395202637,0.41229209303855896,s1,1
1.399217128753662,1.289095163345337,0.37250807881355286,0.5285862684249878,s1,2
1.3419913053512573,1.2637858390808105,0.39862456917762756,0.5236486196517944,s1,3
1.3199148178100586,1.2816734313964844,0.4079240560531616,0.4905145466327667,s1,4
1.2945008277893066,1.2663494348526,0.4217340350151062,0.4477650821208954,s1,5
1.274267554283142,1.261901617050171,0.4323978126049042,0.43334200978279114,s1,6
1.2702511548995972,1.2570366859436035,0.43484798073768616,0.4507536292076111,s1,7
1.2583869695663452,1.2021570205688477,0.4369640350341797,0.4821985363960266,s1,8
1.2446426153182983,1.2175242900848389,0.44626349210739136,0.4736226499080658,s1,9
1.2398430109024048,1.1831703186035156,0.4528343975543976,0.5582120418548584,s1,10
1.2375675439834595,1.2355787754058838,0.4598785936832428,0.41528066992759705,s1,11
1.2290501594543457,1.241981863975525,0.45461633801460266,0.4681652784347534,s1,12
1.2263460159301758,1.2009968757629395,0.4560362994670868,0.5144230723381042,s1,13
1.2177581787109375,1.2022780179977417,0.4662267565727234,0.4841476082801819,s1,14
1.2131470441818237,1.1869271993637085,0.462607204914093,0.5084459185600281,s1,15
1.2228374481201172,1.0784188508987427,0.46670007705688477,0.6177234649658203,s2,16
1.1515040397644043,1.0873366594314575,0.49562868475914,0.5428794026374817,s2,17
1.1131744384765625,1.1461893320083618,0.5110813975334167,0.5501559376716614,s2,18
1.079882025718689,1.0439940690994263,0.5221627950668335,0.6094074845314026,s2,19
1.048186182975769,1.036591649055481,0.5348312854766846,0.5663981437683105,s2,20
1.0249227285385132,1.0846682786941528,0.5416805744171143,0.5197505354881287,s2,21
1.0068845748901367,1.1166915893554688,0.5505067110061646,0.48583680391311646,s2,22
0.9870325922966003,1.0125964879989624,0.5498384833335876,0.5865384340286255,s2,23
0.9621487855911255,1.0834122896194458,0.5619222521781921,0.5005197525024414,s2,24
0.9467813372612,1.0468382835388184,0.5651241540908813,0.5625,s2,25
0.9253231287002563,1.0459626913070679,0.5703586339950562,0.550025999546051,s2,26
0.8925329446792603,0.9947728514671326,0.584252119064331,0.5825104117393494,s2,27
0.8818870782852173,1.0039669275283813,0.5878438353538513,0.5760135054588318,s2,28
0.8665866255760193,0.9979336261749268,0.5861176252365112,0.5858888030052185,s2,29
0.8675887584686279,1.0057226419448853,0.5858948826789856,0.5782224535942078,s2,30
0.8479613065719604,1.000502347946167,0.5934402346611023,0.5864084959030151,s2,31
0.8453933000564575,0.963323175907135,0.5966978669166565,0.6075883507728577,s2,32
0.8462134003639221,0.9979591369628906,0.5952221751213074,0.5701663494110107,s2,33
0.8411829471588135,0.9766846299171448,0.59444260597229,0.5956341028213501,s2,34
0.8411503434181213,1.0322035551071167,0.595138669013977,0.5519750714302063,s2,35
