round,stage,val_acc,val_loss,time_sec
1,1,0.35058823227882385,1.45509672164917,147.94
2,1,0.38070589303970337,1.3874770402908325,112.34
3,1,0.39670589566230774,1.372950553894043,112.27
4,1,0.40847060084342957,1.3473515510559082,111.46
5,1,0.4098823666572571,1.3434950113296509,111.24
6,1,0.41741177439689636,1.3293061256408691,111.63
7,1,0.4188235402107239,1.331411361694336,112.54
8,1,0.40847060084342957,1.3261924982070923,113.18
9,1,0.4127058684825897,1.3216676712036133,114.23
10,1,0.41458824276924133,1.3244166374206543,113.72
11,1,0.40752941370010376,1.3216432332992554,115.82
12,1,0.4291764795780182,1.3156661987304688,118.48
13,1,0.41788235306739807,1.3290797472000122,115.89
14,1,0.4207058846950531,1.316347360610962,116.02
15,1,0.4183529317378998,1.3088232278823853,116.59
16,1,0.41505882143974304,1.310437798500061,117.25
17,1,0.42494118213653564,1.3034436702728271,117.61
18,2,0.3995293974876404,1.3336507081985474,125.67
19,2,0.40658822655677795,1.331744909286499,125.02
20,2,0.4272941052913666,1.289903163909912,125.97
21,2,0.45176470279693604,1.275647521018982,126.31
22,2,0.4465882480144501,1.2868671417236328,126.38
23,2,0.4592941105365753,1.3098936080932617,127.1
24,2,0.4296470582485199,1.347534418106079,127.29
25,2,0.4395294189453125,1.3639429807662964,127.72
26,2,0.44188234210014343,1.3733024597167969,127.9
27,2,0.44517648220062256,1.391337275505066,127.76
28,2,0.43529412150382996,1.432666540145874,127.83
29,2,0.45552942156791687,1.4284461736679077,129.67
30,2,0.4390588104724884,1.4588645696640015,129.74
31,2,0.4583529531955719,1.4833719730377197,131.03
32,2,0.45411765575408936,1.5350793600082397,133.32
33,2,0.4503529369831085,1.5383473634719849,133.29
34,2,0.4503529369831085,1.577322006225586,132.98
35,2,0.45082351565361023,1.6328520774841309,132.7
36,2,0.4484705924987793,1.6536966562271118,132.27
37,2,0.4390588104724884,1.7006362676620483,134.22
38,2,0.4592941105365753,1.7326453924179077,137.48
39,2,0.43482354283332825,1.7712537050247192,136.92
40,2,0.4470588266849518,1.7578673362731934,137.97
