loss,val_loss,accuracy,val_accuracy,stage,epoch
1.6713335514068604,1.5030041933059692,0.22045180201530457,0.3548235297203064,s1,1
1.5283724069595337,1.446007490158081,0.29860830307006836,0.3717647194862366,s1,2
1.4630582332611084,1.370916485786438,0.33854377269744873,0.41788235306739807,s1,3
1.4229555130004883,1.3524932861328125,0.356192022562027,0.4188235402107239,s1,4
1.3934065103530884,1.3342987298965454,0.368495374917984,0.42588233947753906,s1,5
1.3823635578155518,1.325789451599121,0.3682936728000641,0.4320000112056732,s1,6
1.3596113920211792,1.3112519979476929,0.3806978762149811,0.4315294027328491,s1,7
1.348389983177185,1.2915220260620117,0.3931020498275757,0.45458823442459106,s1,8
1.3289529085159302,1.2866686582565308,0.3949173092842102,0.4414117634296417,s1,9
1.3250620365142822,1.2936203479766846,0.39743849635124207,0.42494118213653564,s1,10
1.3261375427246094,1.2967230081558228,0.393807977437973,0.41741177439689636,s1,11
1.3129768371582031,1.2758790254592896,0.4010689854621887,0.4475294053554535,s1,12
1.3012179136276245,1.2789664268493652,0.408430814743042,0.43388235569000244,s1,13
1.298459768295288,1.2694649696350098,0.41367486119270325,0.4376470446586609,s1,14
1.2932696342468262,1.2615479230880737,0.41448163986206055,0.44094118475914,s1,15
1.2813091278076172,1.2666118144989014,0.4245663583278656,0.43341177701950073,s1,16
1.2857095003128052,1.2564338445663452,0.41629689931869507,0.44470587372779846,s1,17
1.2837753295898438,1.2643338441848755,0.41478419303894043,0.4197646975517273,s1,18
1.2729213237762451,1.2662228345870972,0.41720452904701233,0.4098823666572571,s1,19
1.2704442739486694,1.2475037574768066,0.42093586921691895,0.45176470279693604,s1,20
1.2724255323410034,1.2603232860565186,0.425171434879303,0.4282352924346924,s1,21
1.2675687074661255,1.2457001209259033,0.4313231110572815,0.4414117634296417,s1,22
1.2660497426986694,1.250122308731079,0.43041548132896423,0.44188234210014343,s1,23
1.2563564777374268,1.2478646039962769,0.44029849767684937,0.43623530864715576,s1,24
1.260868787765503,1.254908561706543,0.4305163323879242,0.4207058846950531,s1,25
1.2568949460983276,1.2442880868911743,0.43737393617630005,0.43623530864715576,s1,26
1.2556467056274414,1.2422704696655273,0.43757563829421997,0.4404705762863159,s1,27
1.2492767572402954,1.252132773399353,0.44332391023635864,0.42635294795036316,s1,28
1.2564809322357178,1.241910696029663,0.4289027750492096,0.44235295057296753,s1,29
1.2466368675231934,1.230154037475586,0.4407019019126892,0.46352940797805786,s1,30
1.2424660921096802,1.2517569065093994,0.43576037883758545,0.4221176505088806,s2,31
1.194592833518982,1.2241287231445312,0.4560306668281555,0.4672941267490387,s2,32
1.172775387763977,1.1920808553695679,0.4649052023887634,0.4512941241264343,s2,33
1.1413321495056152,1.2198327779769897,0.4817466735839844,0.4498823583126068,s2,34
1.1258376836776733,1.1807012557983398,0.4881000518798828,0.47247058153152466,s2,35
1.1182175874710083,1.1464178562164307,0.4962686598300934,0.4959999918937683,s2,36
1.094788670539856,1.1492118835449219,0.49505847692489624,0.49176469445228577,s2,37
1.0796499252319336,1.188915729522705,0.5089753866195679,0.4668235182762146,s2,38
1.071109414100647,1.1717108488082886,0.5126059055328369,0.46117648482322693,s2,39
1.0565898418426514,1.1467764377593994,0.5156313180923462,0.4941176474094391,s2,40
1.0559022426605225,1.1719770431518555,0.5192617774009705,0.4781176447868347,s2,41
1.0424590110778809,1.165710210800171,0.5181524753570557,0.48188236355781555,s2,42
1.0390651226043701,1.1405686140060425,0.5270270109176636,0.4931764602661133,s2,43
1.0252259969711304,1.1636930704116821,0.5359015464782715,0.47058823704719543,s2,44
1.021178126335144,1.1523665189743042,0.5317668318748474,0.48141175508499146,s2,45
1.026394248008728,1.1433442831039429,0.5317668318748474,0.49035292863845825,s2,46
1.015224814414978,1.1519346237182617,0.5397337675094604,0.48235294222831726,s2,47
1.0182746648788452,1.1435275077819824,0.5341871976852417,0.500705897808075,s2,48
1.0183086395263672,1.1405363082885742,0.5319685339927673,0.49223530292510986,s2,49
1.018829584121704,1.1501052379608154,0.5359015464782715,0.49035292863845825,s2,50
1.0087511539459229,1.152602195739746,0.5440701842308044,0.4880000054836273,s2,51
1.0195136070251465,1.1540789604187012,0.5367083549499512,0.4880000054836273,s2,52
1.0142097473144531,1.1480236053466797,0.5342880487442017,0.49129411578178406,s2,53
1.008932113647461,1.1491148471832275,0.5380193591117859,0.49082353711128235,s2,54
1.0133085250854492,1.1481093168258667,0.5380193591117859,0.49176469445228577,s2,55
1.0129578113555908,1.1487009525299072,0.5466921925544739,0.48988234996795654,s2,56
