class,name,precision,recall,f1,support
0,No DR,0.6118143459915611,0.212298682284041,0.31521739130434784,683
1,Mild,0.5,0.0022172949002217295,0.004415011037527594,451
2,Moderate,0.24299065420560748,0.050980392156862744,0.08427876823338736,510
3,Severe,0.16483516483516483,0.07692307692307693,0.1048951048951049,195
4,Proliferative,0.16449704142011834,0.9652777777777778,0.2810920121334681,288
