loss,val_loss,accuracy,val_accuracy,stage,epoch
1.7081964015960693,1.4507237672805786,0.2715781331062317,0.3435550928115845,s1,1
1.507692813873291,1.313271403312683,0.33054906129837036,0.4620582163333893,s1,2
1.4319965839385986,1.3678398132324219,0.36109253764152527,0.3672037422657013,s1,3
1.3862873315811157,1.354846477508545,0.3760997951030731,0.41073283553123474,s1,4
1.3490318059921265,1.305660367012024,0.390049010515213,0.4199584126472473,s1,5
1.3269257545471191,1.3289861679077148,0.40360841155052185,0.3634355366230011,s1,6
1.31106436252594,1.3101030588150024,0.406643271446228,0.42788460850715637,s1,7
1.3079726696014404,1.2571343183517456,0.41379886865615845,0.4232068657875061,s1,8
1.2873578071594238,1.222257137298584,0.420453280210495,0.5236486196517944,s1,9
1.2711026668548584,1.232002854347229,0.43028175830841064,0.5289760828018188,s1,10
1.254758596420288,1.2440656423568726,0.43941420316696167,0.4520530104637146,s1,11
1.2573860883712769,1.2998024225234985,0.43913576006889343,0.4372401237487793,s1,12
1.2518147230148315,1.2622792720794678,0.4432286322116852,0.46725571155548096,s1,13
1.2478786706924438,1.244981288909912,0.4448156952857971,0.4760914742946625,s1,14
1.3372372388839722,1.1715831756591797,0.39845749735832214,0.6014813184738159,s2,15
1.2625148296356201,1.1700555086135864,0.4376600980758667,0.5560030937194824,s2,16
1.2027044296264648,1.1448880434036255,0.46915024518966675,0.5287162065505981,s2,17
1.170621395111084,1.2389864921569824,0.4803987145423889,0.5471673607826233,s2,18
1.1445235013961792,1.0791746377944946,0.4917307198047638,0.599662184715271,s2,19
1.096688151359558,1.0430697202682495,0.4988584518432617,0.584589421749115,s2,20
1.0748056173324585,1.0590327978134155,0.5043712854385376,0.5806912779808044,s2,21
1.0595860481262207,1.0223779678344727,0.5127798318862915,0.6149948239326477,s2,22
1.0176246166229248,1.3287084102630615,0.5217452049255371,0.4542619585990906,s2,23
0.9936567544937134,1.1188383102416992,0.5243623852729797,0.5023388862609863,s2,24
0.9668373465538025,1.0433275699615479,0.5357779264450073,0.5965436697006226,s2,25
0.864502489566803,1.1021472215652466,0.5772914290428162,0.527936577796936,s2,26
0.8352494835853577,0.9970240592956543,0.5845862627029419,0.5958939790725708,s2,27
0.8123691082000732,1.022904634475708,0.5882614850997925,0.5890072584152222,s2,28
0.8033808469772339,0.957927405834198,0.5907673239707947,0.6229209899902344,s2,29
0.7844647765159607,1.0275615453720093,0.5984798073768616,0.5949844121932983,s2,30
0.7693889737129211,1.0610555410385132,0.5973103642463684,0.5558731555938721,s2,31
0.7523357272148132,1.0219043493270874,0.6096725463867188,0.5736746191978455,s2,32
0.7160446047782898,1.0211809873580933,0.6227865219116211,0.5790020823478699,s2,33
0.7073609828948975,0.9946479201316833,0.6269907355308533,0.5966736078262329,s2,34
